="0662354 rev B: Engineering Bill of Materials"
, , , , , , , , , , , , , , , , , , ,
Level,Name,Title,Instance Title,Instance Description,Design Name,Revision,Not Last Revision,State,="F/N",Qty,Unit Of Measure,Design Collaboration,Change Required,Phase,Type,Collaborative Policy,Ref Des,Description,
3,="0516828-8-13-C3",="0516828-8-13-C3",="0516828-8-13-C3.1",,,A,,Release,25,4.0,EA Each,False,Disabled,Production,Part,EC Part OII,,="NUT LOCK NYLON INSERT 0.5-13 UNC-2B ASME B18.16.6 ASTM F594 316 SST CW1",
2,="0657415",="0657415",="0657415.1",,,B,,Release,2,1.0,EA Each,False,"Enabled;Any Change",Production,Part,EC Part OII,,MOVABLE CLAMP RISER PROTECTION SLEEVE DETAIL,
3,="0657879",="0657879",="0657879.1",,,C,,Release,2,1.0,EA Each,False,"Enabled;Any Change",Production,Part,EC Part OII,,"METALLIC BODY
MOVABLE CLAMP
WELDMENT",
3,="0658072",="0658072",="0658072.1",,,B,,Release,1,1.0,EA Each,False,"Enabled;Any Change",Production,Part,EC Part OII,,MOVABLE CLAMP BUOYANCY MODULE MOVABLE CLAMP DETAIL,
3,="0658732",="0658732",="0658732.1",,,B,,Release,3,1.0,EA Each,False,"Enabled;Any Change",Production,Part,EC Part OII,,POLYPROPYLENE WEDGE MOVABLE CLAMP DETAIL,
3,="0658874",="0658874",="0658874.1",,,B,,Release,4,1.0,EA Each,False,"Enabled;Any Change",Production,Part,EC Part OII,,RUBBER LAYER 8 X 272 X 959 MM,
3,="0522404-M10-C3",="0522404-M10-C3",="0522404-M10-C3.1",,,A,,Release,5,4.0,EA Each,False,Disabled,Production,Part,EC Part OII,,="NUT HEX NYLOC M10 ISO 10511 A4-70",
3,="0522333-M10-65-C3",="0522333-M10-65-C3",="0522333-M10-65-C3.1",,,A,,Release,6,4.0,EA Each,False,Disabled,Production,Part,EC Part OII,,="SCREW FLAT HEAD COUNTERSUNK M10X65 FULL THD ISO 10642 A4-70",
3,="0522302-M10-55-C3",="0522302-M10-55-C3",="0522302-M10-55-C3.1",,,A,,Release,7,3.0,EA Each,False,Disabled,Production,Part,EC Part OII,,="SCREW SOCKET HEAD CAP M10X55 PART THD ISO 4762 A4-70",
2,="0657395",="0657395",="0657395.1",,,A,="Latest unreleased revision exists : B",Release,3,1.0,EA Each,False,"Enabled;Any Change",Production,Part,EC Part OII,,PIVOT PIN C RISER PROTECTION SLEEVE DETAIL,
2,="0516813-12-10-C3",="0516813-12-10-C3",="0516813-12-10-C3.1",,,A,,Release,4,1.0,EA Each,False,Disabled,Production,Part,EC Part OII,,="NUT LOCK NYLON INSERT 0.75-10 UNC-2B ASME B18.16.6 316 SST",
2,="0516871-12-C3",="0516871-12-C3",="0516871-12-C3.1",,,A,,Release,5,1.0,EA Each,False,Disabled,Production,Part,EC Part OII,,WASHER PLAIN TYPE A NARROW 0.75IN NOM SIZE 0.812IN ID 1.469IN OD 0.134IN THK ASME B18.21.1 316 SST,
2,="0516828-10-11-C3",="0516828-10-11-C3",="0516828-10-11-C3.1",,,A,,Release,6,1.0,EA Each,False,Disabled,Production,Part,EC Part OII,,="NUT LOCK NYLON INSERT 0.625-11 UNC-2B ASME B18.16.6 ASTM F594 316 SST CW1",
2,="0516871-10-C3",="0516871-10-C3",="0516871-10-C3.1",,,A,,Release,7,1.0,EA Each,False,Disabled,Production,Part,EC Part OII,,WASHER PLAIN TYPE A NARROW 0.625IN NOM SIZE 0.656IN ID 1.312IN OD 0.095IN THK ASME B18.21.1 316 SST,
2,="0657394",="0657394",="0657394.1",,,A,="Latest unreleased revision exists : B",Release,8,1.0,EA Each,False,"Enabled;Any Change",Production,Part,EC Part OII,,PIVOT PIN B RISER PROTECTION SLEEVE DETAIL,







